x,y,val
250.50,97.50
180.50,250.50,71.84
181.50,250.50,492.33
182.50,250.50,512.28
183.50,250.50,550.80
184.50,250.50,484.94
185.50,250.50,637.76
186.50,250.50,193.05
187.50,250.50,632.52
188.50,250.50,510.95
189.50,250.50,507.29
190.50,250.50,648.02
191.50,250.50,98.30
192.50,250.50,77.14
193.50,250.50,525.56
194.50,250.50,525.81
195.50,250.50,557.98
196.50,250.50,522.33
197.50,250.50,571.39
198.50,250.50,152.48
199.50,250.50,478.71
200.50,250.50,568.23
201.50,250.50,503.12
202.50,250.50,671.98
203.50,250.50,102.95
204.50,250.50,77.55
205.50,250.50,529.30
206.50,250.50,538.63
207.50,250.50,582.15
208.50,250.50,511.31
209.50,250.50,672.97
210.50,250.50,203.69
211.50,250.50,667.17
212.50,250.50,538.85
213.50,250.50,534.96
214.50,250.50,683.25
215.50,250.50,103.64
216.50,250.50,81.32
217.50,250.50,553.99
218.50,250.50,554.12
219.50,250.50,588.03
220.50,250.50,550.26
221.50,250.50,602.33
222.50,250.50,160.82
223.50,250.50,504.93
224.50,250.50,598.26
225.50,250.50,529.91
226.50,250.50,707.52
227.50,250.50,108.39
228.50,250.50,79.86
229.50,250.50,547.20
230.50,250.50,568.98
231.50,250.50,611.69
232.50,250.50,538.43
233.50,250.50,707.91
234.50,250.50,214.25
235.50,250.50,701.83
236.50,250.50,566.75
237.50,250.50,562.63
238.50,250.50,718.47
239.50,250.50,108.98
240.50,250.50,85.51
241.50,250.50,582.49
242.50,250.50,582.44
243.50,250.50,618.03
244.50,250.50,578.35
245.50,250.50,632.72
246.50,250.50,168.85
247.50,250.50,530.03
248.50,250.50,628.58
249.50,250.50,556.57
250.50,250.50,743.11
251.50,250.50,113.84
252.50,250.50,85.75
253.50,250.50,585.16
254.50,250.50,595.12
255.50,250.50,643.14
256.50,250.50,564.76
257.50,250.50,743.13
258.50,250.50,224.89
259.50,250.50,736.48
260.50,250.50,594.65
261.50,250.50,590.30
262.50,250.50,753.70
263.50,250.50,114.32
264.50,250.50,89.68
265.50,250.50,610.91
266.50,250.50,610.76
267.50,250.50,648.09
268.50,250.50,606.26
269.50,250.50,663.69
270.50,250.50,177.21
271.50,250.50,556.31
272.50,250.50,658.60
273.50,250.50,583.37
274.50,250.50,778.64
275.50,250.50,119.28
276.50,250.50,87.88
277.50,250.50,602.08
278.50,250.50,625.68
279.50,250.50,672.59
280.50,250.50,591.92
281.50,250.50,778.05
282.50,250.50,235.45
283.50,250.50,771.14
284.50,250.50,622.54
285.50,250.50,617.98
286.50,250.50,788.93
287.50,250.50,119.66
288.50,250.50,93.87
289.50,250.50,639.41
290.50,250.50,639.08
291.50,250.50,678.08
292.50,250.50,634.36
293.50,250.50,694.05
294.50,250.50,185.23
295.50,250.50,581.36
296.50,250.50,688.93
297.50,250.50,610.03
298.50,250.50,814.23
299.50,250.50,124.73
300.50,250.50,93.94
301.50,250.50,641.02
302.50,250.50,651.62
303.50,250.50,704.13
304.50,250.50,618.21
305.50,250.50,813.29
306.50,250.50,246.09
307.50,250.50,805.79
308.50,250.50,650.44
309.50,250.50,645.65
310.50,250.50,824.16
311.50,250.50,125.00
312.50,250.50,98.04
313.50,250.50,667.84
314.50,250.50,667.39
315.50,250.50,708.14
316.50,250.50,662.27
317.50,250.50,725.04
318.50,250.50,193.60
319.50,250.50,607.69
320.50,250.50,718.94
321.50,250.50,636.83
322.50,250.50,849.76
323.50,250.50,130.17
324.50,250.50,95.90
325.50,250.50,656.96
326.50,250.50,682.39
327.50,250.50,733.48
328.50,250.50,645.41
329.50,250.50,848.20
330.50,250.50,256.64
331.50,250.50,840.45
332.50,250.50,678.34
333.50,250.50,673.32
334.50,250.50,859.38
335.50,250.50,130.34
336.50,250.50,102.23
337.50,250.50,696.34
338.50,250.50,695.71
339.50,250.50,738.13
340.50,250.50,690.37
341.50,250.50,755.38
342.50,250.50,201.60
343.50,250.50,632.68
344.50,250.50,749.28
345.50,250.50,663.48
346.50,250.50,885.35
347.50,250.50,135.62
348.50,250.50,102.13
349.50,250.50,696.88
350.50,250.50,708.12
351.50,250.50,765.12
352.50,250.50,671.66
353.50,250.50,883.45
354.50,250.50,267.30
355.50,250.50,875.10
356.50,250.50,706.24
357.50,250.50,700.99
358.50,250.50,894.61
359.50,250.50,135.68
360.50,250.50,106.41
361.50,250.50,724.76
362.50,250.50,724.02
363.50,250.50,768.19
364.50,250.50,718.28
365.50,250.50,786.40
366.50,250.50,209.99
367.50,250.50,659.07
368.50,250.50,779.27
369.50,250.50,690.28
370.50,250.50,920.88
371.50,250.50,141.06
372.50,250.50,103.92
373.50,250.50,711.84
374.50,250.50,739.09
375.50,250.50,794.38
376.50,250.50,698.90
377.50,250.50,918.35
378.50,250.50,277.84
379.50,250.50,909.76
380.50,250.50,734.14
381.50,250.50,728.67
382.50,250.50,929.84
383.50,250.50,141.02
0.50,251.50,44.56
1.50,251.50,48.60
2.50,251.50,46.41
3.50,251.50,48.55
4.50,251.50,45.85
5.50,251.50,50.00
6.50,251.50,13.34
7.50,251.50,41.95
8.50,251.50,50.15
9.50,251.50,44.39
10.50,251.50,59.45
11.50,251.50,9.11
12.50,251.50,6.87
13.50,251.50,46.93
14.50,251.50,47.97
15.50,251.50,51.89
16.50,251.50,45.65
17.50,251.50,60.19
18.50,251.50,18.24
19.50,251.50,59.83
20.50,251.50,48.43
21.50,251.50,48.11
22.50,251.50,61.59
23.50,251.50,9.35
24.50,251.50,7.34
25.50,251.50,50.06
26.50,251.50,50.26
27.50,251.50,53.37
28.50,251.50,50.05
29.50,251.50,54.76
30.50,251.50,14.61
31.50,251.50,45.94
32.50,251.50,54.76
33.50,251.50,48.49
34.50,251.50,64.90
35.50,251.50,9.95
36.50,251.50,7.33
37.50,251.50,50.27
38.50,251.50,52.50
39.50,251.50,56.48
40.50,251.50,49.78
41.50,251.50,65.56
42.50,251.50,19.86
43.50,251.50,65.14
44.50,251.50,52.71
45.50,251.50,52.35
46.50,251.50,66.99
47.50,251.50,10.16
48.50,251.50,7.99
49.50,251.50,54.43
50.50,251.50,54.60
51.50,251.50,57.97
52.50,251.50,54.35
53.50,251.50,59.43
54.50,251.50,15.86
55.50,251.50,49.82
56.50,251.50,59.40
57.50,251.50,52.58
58.50,251.50,70.36
59.50,251.50,10.78
60.50,251.50,8.13
61.50,251.50,55.49
62.50,251.50,56.63
63.50,251.50,61.24
64.50,251.50,53.84
65.50,251.50,70.95
66.50,251.50,21.49
67.50,251.50,70.45
68.50,251.50,56.98
69.50,251.50,56.60
70.50,251.50,72.39
71.50,251.50,10.98
72.50,251.50,8.63
73.50,251.50,58.79
74.50,251.50,58.94
75.50,251.50,62.57
76.50,251.50,58.64
77.50,251.50,64.16
