x,y,val
0.50,0.50,0.62
1.50,0.50,-2.45
2.50,0.50,-0.58
3.50,0.50,-1.46
4.50,0.50,-1.15
5.50,0.50,-1.31
6.50,0.50,-1.35
7.50,0.50,-1.26
8.50,0.50,-1.65
9.50,0.50,-0.85
10.50,0.50,-2.79
11.50,0.50,0.20
0.50,1.50,-0.05
1.50,1.50,9.58
2.50,1.50,5.19
3.50,1.50,8.61
4.50,1.50,8.63
5.50,1.50,10.02
6.50,1.50,11.05
7.50,1.50,11.71
8.50,1.50,13.74
9.50,1.50,12.38
10.50,1.50,18.82
11.50,1.50,11.24
0.50,2.50,3.72
1.50,2.50,1.51
2.50,2.50,4.46
3.50,2.50,4.54
4.50,2.50,5.87
5.50,2.50,6.70
6.50,2.50,7.66
7.50,2.50,8.75
8.50,2.50,9.34
9.50,2.50,11.18
10.50,2.50,10.16
11.50,2.50,14.28
0.50,3.50,3.70
1.50,3.50,6.06
2.50,3.50,6.23
3.50,3.50,7.62
4.50,3.50,8.48
5.50,3.50,9.56
6.50,3.50,10.58
7.50,3.50,11.54
8.50,3.50,12.71
9.50,3.50,13.36
10.50,3.50,15.22
11.50,3.50,14.90
0.50,4.50,5.13
1.50,4.50,5.55
2.50,4.50,6.90
3.50,4.50,7.73
4.50,4.50,8.79
5.50,4.50,9.76
6.50,4.50,10.75
7.50,4.50,11.77
8.50,4.50,12.69
9.50,4.50,13.84
10.50,4.50,14.47
11.50,4.50,16.04
0.50,5.50,5.94
1.50,5.50,7.20
2.50,5.50,8.04
3.50,5.50,9.12
4.50,5.50,10.09
5.50,5.50,11.10
6.50,5.50,12.11
7.50,5.50,13.10
8.50,5.50,14.13
9.50,5.50,15.07
10.50,5.50,16.23
11.50,5.50,16.98
0.50,6.50,7.02
1.50,6.50,7.92
2.50,6.50,8.98
3.50,6.50,9.95
4.50,6.50,10.96
5.50,6.50,11.96
6.50,6.50,12.95
7.50,6.50,13.96
8.50,6.50,14.94
9.50,6.50,15.97
10.50,6.50,16.90
11.50,6.50,18.01
0.50,7.50,7.99
1.50,7.50,9.04
2.50,7.50,10.01
3.50,7.50,11.02
4.50,7.50,12.02
5.50,7.50,13.02
6.50,7.50,14.02
7.50,7.50,15.02
8.50,7.50,16.02
9.50,7.50,17.01
10.50,7.50,18.04
11.50,7.50,19.00
0.50,8.50,9.00
1.50,8.50,9.98
2.50,8.50,11.00
3.50,8.50,11.99
4.50,8.50,12.99
5.50,8.50,13.99
6.50,8.50,14.99
7.50,8.50,15.99
8.50,8.50,16.99
9.50,8.50,17.99
10.50,8.50,18.98
11.50,8.50,20.00
0.50,9.50,10.00
1.50,9.50,11.01
2.50,9.50,12.00
3.50,9.50,13.00
4.50,9.50,14.00
5.50,9.50,15.00
6.50,9.50,16.00
7.50,9.50,17.00
8.50,9.50,18.00
9.50,9.50,19.00
10.50,9.50,20.01
11.50,9.50,21.00
0.50,10.50,11.00
1.50,10.50,12.00
2.50,10.50,13.00
3.50,10.50,14.00
4.50,10.50,15.00
5.50,10.50,16.00
6.50,10.50,17.00
7.50,10.50,18.00
8.50,10.50,19.00
9.50,10.50,20.00
10.50,10.50,21.00
11.50,10.50,22.00
0.50,11.50,12.00
1.50,11.50,13.00
2.50,11.50,14.00
3.50,11.50,15.00
4.50,11.50,16.00
5.50,11.50,17.00
6.50,11.50,18.00
7.50,11.50,19.00
8.50,11.50,20.00
9.50,11.50,21.00
10.50,11.50,22.00
11.50,11.50,23.00
