x,y,val
0.50,0.50,10.56
1.50,0.50,5.70
2.50,0.50,6.93
3.50,0.50,7.25
4.50,0.50,7.56
5.50,0.50,8.13
6.50,0.50,2.21
7.50,0.50,7.28
8.50,0.50,9.76
9.50,0.50,10.13
10.50,0.50,10.32
11.50,0.50,11.04
12.50,0.50,2.99
13.50,0.50,9.71
14.50,0.50,12.53
15.50,0.50,13.21
16.50,0.50,12.59
17.50,0.50,15.62
18.50,0.50,4.67
19.50,0.50,15.51
20.50,0.50,14.53
21.50,0.50,16.43
22.50,0.50,15.26
23.50,0.50,18.39
0.50,1.50,6.85
1.50,1.50,1.76
2.50,1.50,4.02
3.50,1.50,4.28
4.50,1.50,5.32
5.50,1.50,5.54
6.50,1.50,1.50
7.50,1.50,5.28
8.50,1.50,8.90
9.50,1.50,9.27
10.50,1.50,10.07
11.50,1.50,10.62
12.50,1.50,2.87
13.50,1.50,9.56
14.50,1.50,13.70
15.50,1.50,14.53
16.50,1.50,14.17
17.50,1.50,17.94
18.50,1.50,5.45
19.50,1.50,18.37
20.50,1.50,17.46
21.50,1.50,19.94
22.50,1.50,18.87
23.50,1.50,22.58
0.50,2.50,5.81
1.50,2.50,2.80
2.50,2.50,5.83
3.50,2.50,6.05
4.50,2.50,7.39
5.50,2.50,7.71
6.50,2.50,2.08
7.50,2.50,7.29
8.50,2.50,11.95
9.50,2.50,12.44
10.50,2.50,13.42
11.50,2.50,14.20
12.50,2.50,3.84
13.50,2.50,12.78
14.50,2.50,18.04
15.50,2.50,19.14
16.50,2.50,18.62
17.50,2.50,23.54
18.50,2.50,7.14
19.50,2.50,24.02
20.50,2.50,22.86
21.50,2.50,25.95
22.50,2.50,24.82
23.50,2.50,28.71
0.50,3.50,7.44
1.50,3.50,3.60
2.50,3.50,6.45
3.50,3.50,6.71
4.50,3.50,7.93
5.50,3.50,8.32
6.50,3.50,2.25
7.50,3.50,7.78
8.50,3.50,12.30
9.50,3.50,12.80
10.50,3.50,13.68
11.50,3.50,14.50
12.50,3.50,3.92
13.50,3.50,13.01
14.50,3.50,18.11
15.50,3.50,19.20
16.50,3.50,18.63
17.50,3.50,23.48
18.50,3.50,7.11
19.50,3.50,23.87
20.50,3.50,22.67
21.50,3.50,25.73
22.50,3.50,24.50
23.50,3.50,28.55
0.50,4.50,8.16
1.50,4.50,4.77
2.50,4.50,7.58
3.50,4.50,7.84
4.50,4.50,8.97
5.50,4.50,9.47
6.50,4.50,2.57
7.50,4.50,8.76
8.50,4.50,13.29
9.50,4.50,13.82
10.50,4.50,14.60
11.50,4.50,15.52
12.50,4.50,4.20
13.50,4.50,13.87
14.50,4.50,18.97
15.50,4.50,20.09
16.50,4.50,19.42
17.50,4.50,24.40
18.50,4.50,7.36
19.50,4.50,24.68
20.50,4.50,23.39
21.50,4.50,26.48
22.50,4.50,25.20
23.50,4.50,29.20
0.50,5.50,8.63
1.50,5.50,4.87
2.50,5.50,7.83
3.50,5.50,8.12
4.50,5.50,9.32
5.50,5.50,9.83
6.50,5.50,2.66
7.50,5.50,9.11
8.50,5.50,13.90
9.50,5.50,14.45
10.50,5.50,15.30
11.50,5.50,16.25
12.50,5.50,4.40
13.50,5.50,14.53
14.50,5.50,19.92
15.50,5.50,21.10
16.50,5.50,20.41
17.50,5.50,25.65
18.50,5.50,7.75
19.50,5.50,25.97
20.50,5.50,24.62
21.50,5.50,27.88
22.50,5.50,26.53
23.50,5.50,30.79
0.50,6.50,2.30
1.50,6.50,1.29
2.50,6.50,2.08
3.50,6.50,2.16
4.50,6.50,2.48
5.50,6.50,2.62
6.50,6.50,0.71
7.50,6.50,2.43
8.50,6.50,3.71
9.50,6.50,3.86
10.50,6.50,4.09
11.50,6.50,4.34
12.50,6.50,1.17
13.50,6.50,3.88
14.50,6.50,5.33
15.50,6.50,5.64
16.50,6.50,5.46
17.50,6.50,6.86
18.50,6.50,2.07
19.50,6.50,6.95
20.50,6.50,6.59
21.50,6.50,7.46
22.50,6.50,7.10
23.50,6.50,8.24
0.50,7.50,7.84
1.50,7.50,4.69
2.50,7.50,7.19
3.50,7.50,7.44
4.50,7.50,8.43
5.50,7.50,8.91
6.50,7.50,2.41
7.50,7.50,8.21
8.50,7.50,12.30
9.50,7.50,12.79
10.50,7.50,13.46
11.50,7.50,14.32
12.50,7.50,3.88
13.50,7.50,12.78
14.50,7.50,17.37
15.50,7.50,18.39
16.50,7.50,17.76
17.50,7.50,22.29
18.50,7.50,6.72
